slot;1;2;3;4;5;6;7;8;9;10;11;12
01;17, 15;Running;23, 20;Running;05, 09;Running;04, 07;Running;08, 14;Running;02, 16;Running
02;14;Running;19;Running;06;Running;05;Running;13;Running;11;Running
03;12, 07;16, 13;01, 21;02, 14;20, 24;04, 10;08, 17;11, 09;18, 22;06, 23;19, 03;15, None
04;18;20;12;05;03;15;16;19;09;24;01;21
05;23, 09;02, 12;13, 03;24, 07;19, 10;20, 22;15, 11;16, 08;17, 04;01, None;06, 14;None, None
06;16, 08;19, 05;07, 18;21, 04;13, 02;01, 23;12, 22;20, 17;06, 03;11, 10;24, 15;14, None
07;22, 24;18, 04;06, 11;08, 15;14, 07;02, 16;01, 10;13, 12;05, 20;21, 09;17, 23;03, None
08;06, 05;11, 08;09, 14;18, 01;16, 04;21, 19;23, 24;10, 15;07, 12;02, 03;22, 20;13, None
09;20, 04;24, 06;05, 17;03, 16;08, 23;12, 14;02, 09;01, None;15, 21;18, 22;13, 10;07, 19
10;03, 01;Running;22, 10;Running;17, 11;Running;18, 21;Running;19, 16;Running;09, 05;Running
11;11;21;08;13;12;03;06;23;24;15;18;04
12;19, 13;10, 07;15, 02;12, 09;01, 18;08, 24;03, 14;06, 22;11, 23;05, 20;04, 21;17, None
13;21, 02;23, 09;24, 16;06, 11;15, 22;07, 13;19, 20;14, 03;01, 10;17, 04;08, 12;18, None
pause;10;22;04;17;21;18;13;02, 24;02;07, 12;07;22, 12, 23, 06, 08, 01, 20, 10, 24

slot;1;2;3;4;5;6;7;8;9;10;11;12
01;10;Running;03;08;12;06;07;09;13;05;04;None
02;13;05;12;03;06;07;09;None;None;08;01;Running
03;10;Running;05;09;04;11;12;13;06;08;03;07
04;09;07;None;06;08;03;01;Running;05;13;12;11
05;08;06;09;04;01;Running;02;Running;07;12;10;Running
06;08;09;07;13;02;Running;11;12;06;03;05;None
07;03;12;06;05;07;13;01;Running;08;None;None;09
08;06;08;11;07;09;12;03;05;01;Running;13;None
09;05;13;08;12;01;Running;09;03;04;07;10;Running
10;None;12;10;Running;05;03;07;08;13;06;09;None
11;11;08;07;13;10;Running;05;03;12;06;02;Running
12;03;05;04;12;11;09;06;07;08;None;13;None
13;12;03;05;11;06;13;None;07;02;Running;09;08
14;02;Running;08;03;07;09;12;13;01;Running;05;06
15;01;Running;12;07;13;04;05;08;09;11;06;03
16;06;03;13;09;08;07;04;05;10;Running;01;Running
17;01;Running;09;None;10;Running;03;06;05;13;07;12
18;04;07;06;08;12;None;10;Running;03;09;11;13
19;12;06;02;Running;05;08;13;04;10;Running;03;09
20;09;04;01;Running;03;05;13;06;07;12;08;None
21;13;11;03;06;None;08;10;Running;09;07;12;04
22;07;None;10;Running;13;05;06;12;03;09;08;None
23;05;13;01;Running;09;06;08;11;12;03;07;None
24;07;09;13;05;03;12;08;None;11;04;06;None
